Date/Time,Word Count,en,cs
2017.03.14-17.36.46,345,0,345
2017.03.14-17.54.11,326,0,326
2017.03.14-18.16.03,321,0,321
2017.03.14-18.21.15,320,0,320
2017.03.14-18.28.40,330,0,330
2017.05.11-00.58.31,788,0,788
2017.05.11-09.06.32,788,0,788
2017.05.11-09.07.27,788,0,788
2017.05.11-09.12.21,788,0,788
2017.05.11-09.12.59,780,0,780
2017.05.11-09.22.45,776,0,776
2017.05.11-09.26.53,776,0,776
2017.05.11-09.29.21,778,0,778
2017.05.11-09.31.58,777,0,777
2017.05.11-09.34.49,748,0,748
2017.05.11-09.39.25,748,10,748
2017.05.13-15.56.19,778,10,778
2017.05.13-15.57.17,778,10,778
2017.05.13-15.59.58,778,10,778
2017.05.13-16.00.55,778,10,778
2017.05.13-16.24.53,761,10,761
2017.05.13-16.45.03,763,15,763
2017.05.13-17.00.32,763,141,763
2017.05.13-17.01.03,763,141,763
2017.05.13-17.13.44,763,306,763
2017.05.13-17.18.14,763,355,763
2017.05.13-17.28.31,763,487,763
2017.05.13-17.39.08,763,644,763
2017.05.13-17.43.21,763,763,763
2017.05.13-17.43.59,763,763,763
2017.05.14-13.12.20,764,763,764
2017.05.14-13.13.12,764,764,764
2017.05.14-19.28.27,764,764,764
2017.05.14-19.32.48,759,753,759
2017.05.14-19.33.51,759,759,759
2017.05.30-22.09.29,4200,726,4200
2017.05.30-22.16.55,4197,759,4197
2017.05.30-22.23.08,4188,771,4188
2017.05.30-22.37.51,4188,771,4188
2017.05.30-22.41.16,4183,771,4183
2017.05.30-22.57.44,4191,771,4191
2017.05.30-23.00.19,4190,771,4190
2017.05.30-23.18.38,4210,778,4210
2017.05.31-01.49.39,4210,778,4210
2017.05.31-02.19.21,4214,778,4214
2017.05.31-02.23.35,4214,782,4214
2017.05.31-02.28.00,4214,780,4214
2017.05.31-02.41.54,4214,780,4214
2017.05.31-03.28.18,4259,782,4259
2017.05.31-03.31.55,4258,779,4258
2017.05.31-03.49.52,4258,779,4258
2017.07.13-19.44.11,4377,779,4377
